Date,Short Vol,Short Exempt Vol,Total Vol,% Shorted,Close
06/09/2022,12230176,143404,29321493,41.71,153.8261108
02/09/2022,12627089,136961,31142818,40.55,155.100296
01/09/2022,12080268,120198,30724598,39.32,157.240509
31/08/2022,10306305,64851,25916855,39.77,156.5038757
30/08/2022,13853437,77440,33188191,41.74,158.1861725
29/08/2022,12815411,127069,30746356,41.68,160.6449127
26/08/2022,13811210,72106,28539096,48.39,162.8747101
25/08/2022,12046904,67001,21108680,57.07,169.2555084
24/08/2022,13489484,69778,22898919,58.91,166.7669067
23/08/2022,13155512,101885,21670369,60.71,166.4682617
22/08/2022,14363419,57588,25293391,56.79,166.8067322
19/08/2022,13087281,126396,28402453,46.08,170.7387238
18/08/2022,12308593,208845,27252240,45.17,173.3567352
17/08/2022,16432273,77289,35438689,46.37,173.7549286
16/08/2022,13968825,77788,22920291,60.95,172.2418518
15/08/2022,13761083,64392,22826504,60.29,172.4011078
12/08/2022,12743673,77279,27468905,46.39,171.3160858
11/08/2022,9479273,76107,22632575,41.88,167.7225342
10/08/2022,11529092,74398,27415232,42.05,168.4691315
09/08/2022,10404929,78993,25283344,41.15,164.1687927
08/08/2022,10272099,67265,31183947,32.94,164.1190186
05/08/2022,11625129,104276,24782668,46.91,164.5968475
04/08/2022,15374299,88341,25168870,61.08,164.8257904
03/08/2022,22122718,149220,33954928,65.15,165.1438904
02/08/2022,15093731,93945,24428009,61.79,159.0602112
01/08/2022,17267161,78660,28813589,59.93,160.5513153
29/07/2022,23853277,115303,42769743,55.77,161.5453796
28/07/2022,15899704,101657,29628230,53.66,156.4160156
27/07/2022,16613200,53696,28365134,58.57,155.859314
26/07/2022,11902760,56967,21334126,55.79,150.7001648
25/07/2022,14735828,124027,24852651,59.29,152.0421143
22/07/2022,18169087,101241,29648483,61.28,153.175354
21/07/2022,17017457,112567,28891844,58.9,154.4278717
20/07/2022,16126440,141485,29652591,54.38,152.1315765
19/07/2022,15614460,85502,34617169,45.11,150.1036835
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
